steamid,personaname
76561197960275842,Testudo
76561197960275880,dF|Wolfhound
76561197960275881,Automatic
76561197960275888,Tamasapan
76561197960275889,*nitro*
76561197960275893,TheDeadCowCult
76561197960275901,Flavahbeast
76561197960275908,Jeb
76561197960275915,@Panerai111 (æˆ‘ 5-Wing (ACE))
76561197960275918,Dickcheese Aficionado
76561197960275925,CrossEye
76561197960275926,Gonzo
76561197960275971,xeqution.
76561197960275980,Hingle McCringleberry
76561197960275986,Rhythmaxed
76561197960275995,[UTKR]Vash
76561197960276028,Stan Darsh
76561197960276039,CaRcAsSi
76561197960276048,Enigma
76561197960276052,Paldin
76561197960276058,TheDosss
76561197960276062,puchio
76561197960276064,advt
76561197960276065,nOOdles
76561197960276067,Imperium
76561197960276069,[Creep]-Tyrant
76561197960276070,The Mersey Puzzler
76561197960276077,lordfate
76561197960276093,Galen
76561197960276096,JackieChad
76561197960276118,rEv`-
76561197960276121,KillerBee
76561197960276122,TWOx ã‚·
76561197960276135,zapy
76561197960276140,Crimson
76561197960276192,zomg
76561197960276200,McJoppy
76561197960276248,Ars3n1K
76561197960276253,TCD
76561197960276263,Monkibouy
76561197960276270,Kim Possible
76561197960276271,Chiwiriwirbi
76561197960276281,[Pfeffer] draco
76561197960276283,wen
76561197960276288,qtR`
76561197960276289,Coke
76561197960276298,Jellyman
76561197960276356,toolman
76561197960276363,Johnny Wikked
76561197960276367,P.Graves KlaSH
76561197960276368,DYERS-EVE
76561197960276392,Mossberg
76561197960276397,aspect
76561197960276414,Fandego
76561197960276425,sean
76561197960276427,Domje
76561197960276433,edmOnd
76561197960276449,TT
76561197960276459,SomeLlama
76561197960276475,NNiiccKK
76561197960276476,FryGuy
76561197960276492,Beldion
76561197960276501,LostSoulz
76561197960276511,eNeMe
76561197960276515,Trixar
76561197960276539,Sheldon
76561197960276543,royleewasonleroy
76561197960276563,Pome
76561197960276576,ROMOPAT
76561197960276587,Eric
76561197960276617,Harry
76561197960276625,noone
76561197960276641,bastiinterp
76561197960276642,2Gunz
76561197960276645,Squirreli
76561197960276662,Ender
76561197960276663,Bikounet
76561197960276691,SkylerTheZoMBiE
76561197960276706,Morbid Chef
76561197960276726,PAuLUS
76561197960276728,zet
76561197960276732,DesimuS
76561197960276754,sneakz.kali
76561197960276759,seismic
76561197960276772,with a laptop don't play game
76561197960276785,m0gstar
76561197960276787,[RAIL]otakasan
76561197960276813,careless
76561197960276818,Silver Surfer^
76561197960276833,Corpo
76561197960276841,pepsiboy
76561197960276852,snyBoi*
76561197960276856,Campingaz
76561197960276863,Fire
76561197960276872,Cpudemon
76561197960276873,Taz
76561197960276888,ace`
76561197960276908,shysty`raz >=(**
76561197960276913,koreagle
76561197960276919,Kouru
76561197960276968,mett
76561197960276970,syke
76561197960276972,steff
76561197960276984,Duroc
76561197960276996,zp
76561197960277000,zakL
76561197960277008,HG | DIRTY
76561197960277022,RusHaPoiL
76561197960277031,nizzo
76561197960277042,[WhtTrsh] Kano56
76561197960277044,bossofarts
76561197960277045,Jotan
76561197960277058,darv
76561197960277066,nonix81
76561197960277084,Ritchey007
76561197960277111,Miklos
76561197960277139,wubwub
76561197960277143,Mixa.rar
76561197960277163,Mooby
76561197960277165,Static_Rage
76561197960277170,Hamled
76561197960277178,Earnin' Stories
76561197960277192,wardrobe malfunction
76561197960277193,Howler
76561197960277203,banned
76561197960277218,Thracken
76561197960277220,fox-=]$k[=-
76561197960277239,niXta
76561197960277240,ward
76561197960277242,yytzi
76561197960277259,T8R
76561197960277275,-SAF-.drk.rules
76561197960277288,doost
76561197960277299,-TRC-Neffanieâ™¥Lemonjonâ™¥
76561197960277309,Jipd
76561197960277333,StefanThor
76561197960277337,Kestrel
76561197960277350,DemonsMaster
76561197960277361,JUICEBOX
76561197960277365,nemmers
76561197960277380,Fraggen
76561197960277385,RoyalShepherd
76561197960277403,aleXander under Influence
76561197960277410,gimeia
