gamesid,appName,appType,price,release_Date,rating,requiredAge,is_Multiplayer,steam_appid,average_forever,owners,achievement,ownersNumerical
328730,Letter Quest: Grimm's Journey,game,0.0,2014-11-20 00:00:00,-1,0,0,328730,0,"50,000 .. 100,000",No,75000
328740,Bit Odyssey,game,4.99,2015-01-20 00:00:00,-1,0,0,328740,0,"0 .. 20,000",No,10000
328760,SanctuaryRPG: Black Edition,game,7.99,2015-02-13 00:00:00,-1,0,0,328760,334,"100,000 .. 200,000",No,150000
328780,Vampires: Guide Them to Safety!,game,4.99,2014-10-22 00:00:00,-1,0,0,328780,0,"0 .. 20,000",No,10000
328830,Rugby Union Team Manager 2015,game,19.99,2014-12-03 00:00:00,-1,0,0,328830,0,"0 .. 20,000",No,10000
328880,Space Legends: At the Edge of the Universe,game,9.99,2014-11-24 00:00:00,-1,0,0,328880,0,"20,000 .. 50,000",No,35000
328890,Fritz for Fun 13,game,19.99,2014-12-10 00:00:00,-1,0,1,328890,0,"0 .. 20,000",No,10000
328900,B-17 Flying Fortress: The Mighty 8th,game,6.99,2014-10-30 00:00:00,82,0,0,328900,0,"20,000 .. 50,000",No,35000
328920,F-117A Nighthawk Stealth Fighter 2.0,game,6.99,2014-10-30 00:00:00,-1,0,0,328920,0,"20,000 .. 50,000",No,35000
328930,Fleet Defender: The F-14 Tomcat Simulation,game,6.99,2014-10-30 00:00:00,-1,0,0,328930,0,"0 .. 20,000",No,10000
328940,The Deer God,game,14.99,2015-02-27 00:00:00,59,0,0,328940,0,"20,000 .. 50,000",No,35000
328990,Koya Rift,game,2.99,2014-10-27 00:00:00,-1,0,0,328990,0,"0 .. 20,000",No,10000
329000,Data Hacker: Corruption,game,2.99,2014-10-22 00:00:00,-1,0,0,329000,290,"200,000 .. 500,000",No,250000
329020,Battlegrounds of Eldhelm,game,0.0,2014-10-22 00:00:00,-1,0,1,329020,10,"100,000 .. 200,000",No,150000
329040,Dungeon Kingdom: Sign of the Moon,game,18.99,2015-11-19 00:00:00,-1,0,0,329040,0,"0 .. 20,000",No,10000
329050,Devil May Cry® 4 Special Edition,game,24.99,2015-06-23 00:00:00,-1,17,0,329050,432,"500,000 .. 1,000,000",No,750000
329110,Gems of War,game,0.0,2014-11-20 00:00:00,-1,0,1,329110,503,"200,000 .. 500,000",No,250000
329130,Reassembly,game,14.99,2015-02-19 00:00:00,-1,0,0,329130,4,"100,000 .. 200,000",No,150000
329190,Volo Airsport,game,12.99,2014-12-04 00:00:00,-1,0,0,329190,0,"0 .. 20,000",No,10000
329200,Astray,game,6.99,2015-02-03 00:00:00,-1,0,0,329200,0,"20,000 .. 50,000",No,35000
329240,The Weaponographist,game,9.99,2015-04-29 00:00:00,58,0,0,329240,0,"20,000 .. 50,000",No,35000
329280,Avalon Lords: Dawn Rises,game,19.99,2016-04-28 00:00:00,-1,0,1,329280,0,"20,000 .. 50,000",No,35000
329310,Tile Miner,game,4.99,2014-10-24 00:00:00,-1,0,0,329310,0,"0 .. 20,000",No,10000
329320,QbQbQb,game,4.99,2014-10-29 00:00:00,-1,0,0,329320,0,"20,000 .. 50,000",No,35000
329380,Stealth Inc 2: A Game of Clones,game,14.99,2015-04-30 00:00:00,-1,0,0,329380,234,"200,000 .. 500,000",No,250000
329430,State of Decay: YOSE Day One Edition,game,29.99,2015-04-27 00:00:00,-1,17,0,329430,676,"200,000 .. 500,000",No,250000
329440,Sonic Lost World,game,29.99,2015-11-02 00:00:00,-1,0,0,329440,11,"100,000 .. 200,000",No,150000
329460,JumpJet Rex,game,9.99,2015-04-21 00:00:00,76,0,0,329460,26,"100,000 .. 200,000",No,150000
329480,Snow Light,game,9.99,2014-10-24 00:00:00,-1,0,0,329480,0,"0 .. 20,000",No,10000
329490,Phantom Breaker: Battle Grounds,game,11.99,2015-01-23 00:00:00,64,0,0,329490,121,"100,000 .. 200,000",No,150000
329610,R.B.I. Baseball 15,game,19.99,2015-04-30 00:00:00,-1,0,1,329610,0,"0 .. 20,000",No,10000
329620,Across the Rhine,game,6.99,2014-11-06 00:00:00,-1,0,0,329620,0,"0 .. 20,000",No,10000
329630,Command HQ,game,6.99,2014-11-06 00:00:00,-1,0,0,329630,0,"20,000 .. 50,000",No,35000
329640,Eradicator,game,6.99,2014-11-06 00:00:00,-1,0,0,329640,0,"20,000 .. 50,000",No,35000
329650,NAM,game,6.99,2014-11-06 00:00:00,-1,0,0,329650,6,"20,000 .. 50,000",No,35000
329670,Silent Service 2,game,6.99,2014-11-06 00:00:00,-1,0,0,329670,0,"0 .. 20,000",No,10000
329680,Task Force 1942: Surface Naval Action in the South Pacific,game,6.99,2014-11-06 00:00:00,-1,0,0,329680,0,"0 .. 20,000",No,10000
329690,BasketBelle,game,4.99,2014-12-09 00:00:00,-1,0,0,329690,0,"0 .. 20,000",No,10000
329770,4089: Ghost Within,game,5.99,2015-01-09 00:00:00,-1,0,0,329770,161,"0 .. 20,000",No,10000
329830,The Moon Sliver,game,1.99,2014-10-28 00:00:00,-1,0,0,329830,0,"50,000 .. 100,000",No,75000
329860,Catlateral Damage,game,9.99,2015-05-27 00:00:00,-1,0,0,329860,1518,"50,000 .. 100,000",No,75000
329890,MyRPG Master,game,39.99,2015-02-09 00:00:00,-1,0,0,329890,0,"0 .. 20,000",No,10000
329970,KeeperRL,game,14.99,2015-03-31 00:00:00,-1,0,0,329970,0,"20,000 .. 50,000",No,35000
329980,ASA: A Space Adventure - Remastered Edition,game,12.99,2015-03-04 00:00:00,-1,0,0,329980,0,"0 .. 20,000",No,10000
330100,BossConstructor,game,14.99,2014-11-04 00:00:00,-1,0,0,330100,0,"0 .. 20,000",No,10000
330180,Pix the Cat,game,9.99,2015-01-29 00:00:00,77,0,1,330180,247,"50,000 .. 100,000",No,75000
330270,Warlocks vs Shadows,game,13.99,2015-08-19 00:00:00,68,0,1,330270,41,"20,000 .. 50,000",No,35000
330350,Robotex,game,4.99,2014-11-19 00:00:00,-1,0,0,330350,116,"100,000 .. 200,000",No,150000
330370,Reload,game,4.99,2015-02-13 00:00:00,-1,0,0,330370,0,"0 .. 20,000",No,10000
330390,Grandia® II Anniversary Edition,game,19.99,2015-08-24 00:00:00,80,0,0,330390,225,"50,000 .. 100,000",No,75000
330420,The Interactive Adventures of Dog Mendonça & Pizzaboy®,game,19.99,2016-03-03 00:00:00,-1,0,0,330420,0,"50,000 .. 100,000",No,75000
330450,Runes of Brennos,game,4.99,2015-10-16 00:00:00,-1,0,1,330450,0,"0 .. 20,000",No,10000
330460,Celestial Command,game,7.99,2014-11-20 00:00:00,-1,0,1,330460,0,"20,000 .. 50,000",No,35000
330470,Over The Void,game,4.99,2014-11-11 00:00:00,-1,0,0,330470,0,"20,000 .. 50,000",No,35000
330500,planktOs,game,4.99,2016-02-03 00:00:00,-1,0,0,330500,0,"0 .. 20,000",No,10000
330520,Tail Drift,game,9.99,2014-10-29 00:00:00,-1,0,0,330520,0,"0 .. 20,000",No,10000
330570,Noct,game,9.99,2015-10-21 00:00:00,-1,0,1,330570,0,"50,000 .. 100,000",No,75000
330580,Shark Attack Deathmatch 2,game,4.99,2015-05-28 00:00:00,-1,0,1,330580,0,"100,000 .. 200,000",No,150000
330620,It's A Wipe!,game,4.99,2014-12-11 00:00:00,-1,0,0,330620,593,"0 .. 20,000",No,10000
330660,Luna's Wandering Stars,game,9.99,2015-05-15 00:00:00,-1,0,0,330660,0,"50,000 .. 100,000",No,75000
330670,DiscStorm,game,11.99,2015-08-20 00:00:00,-1,0,0,330670,0,"0 .. 20,000",No,10000
330680,Solar Struggle,game,5.99,2014-11-18 00:00:00,-1,0,0,330680,0,"0 .. 20,000",No,10000
330720,Flashpoint Campaigns: Red Storm Player's Edition,game,49.99,2014-11-21 00:00:00,-1,0,1,330720,0,"0 .. 20,000",No,10000
330770,Radial-G : Racing Revolved,game,24.99,2016-03-28 00:00:00,-1,0,1,330770,0,"0 .. 20,000",No,10000
330820,Read Only Memories,game,19.99,2015-10-06 00:00:00,80,0,0,330820,326,"200,000 .. 500,000",No,250000
330830,Tales from the Borderlands,game,24.99,2014-11-25 00:00:00,-1,17,0,330830,524,"1,000,000 .. 2,000,000",No,150000
330990,Demon Hunter: Chronicles from Beyond,game,9.99,2014-12-04 00:00:00,-1,0,0,330990,248,"50,000 .. 100,000",No,75000
331160,Disney•Pixar Cars,game,19.99,2015-02-24 00:00:00,73,0,0,331160,0,"20,000 .. 50,000",No,35000
331190,Master Spy,game,9.99,2015-09-08 00:00:00,68,0,0,331190,13,"50,000 .. 100,000",No,75000
331200,Grass Simulator,game,4.99,2015-04-01 00:00:00,-1,0,1,331200,0,"20,000 .. 50,000",No,35000
331210,"Bolt Riley, A Reggae Adventure",game,9.99,2016-04-20 00:00:00,-1,0,0,331210,0,"0 .. 20,000",No,10000
331290,Miko Gakkou: Second Year,game,5.99,2014-11-13 00:00:00,-1,0,0,331290,0,"0 .. 20,000",No,10000
331340,Tulpa,game,9.99,2015-01-29 00:00:00,-1,0,0,331340,127,"20,000 .. 50,000",No,35000
331360,Heavy Metal Machines,game,0.0,2016-05-07 20:16:00,-1,0,1,331360,46,"500,000 .. 1,000,000",No,750000
331400,Luna: Shattered Hearts: Episode 1,game,2.99,2014-11-24 00:00:00,-1,16,0,331400,74,"20,000 .. 50,000",No,35000
331440,bit Dungeon II,game,3.99,2014-12-15 00:00:00,-1,0,0,331440,113,"100,000 .. 200,000",No,150000
331460,Rooms: The Unsolvable Puzzle,game,14.99,2015-05-01 00:00:00,-1,0,0,331460,0,"0 .. 20,000",No,10000
331500,Executive Assault,game,12.99,2015-07-17 00:00:00,-1,0,1,331500,363,"50,000 .. 100,000",No,75000
331510,Amphora,game,13.99,2014-11-12 00:00:00,-1,0,0,331510,0,"0 .. 20,000",No,10000
331570,Wimp: Who Stole My Pants?,game,3.99,2015-06-05 00:00:00,-1,0,0,331570,0,"0 .. 20,000",No,10000
331580,ULTRAWORLD,game,9.99,2014-12-04 00:00:00,-1,0,0,331580,0,"20,000 .. 50,000",No,35000
331600,One Piece Pirate Warriors 3,game,49.99,2015-08-27 00:00:00,-1,0,0,331600,311,"200,000 .. 500,000",No,250000
331610,Movie Studio Boss: The Sequel,game,9.99,2014-12-17 00:00:00,-1,0,0,331610,0,"0 .. 20,000",No,10000
331650,Carmageddon TDR 2000,game,4.99,2014-12-04 00:00:00,-1,0,1,331650,0,"50,000 .. 100,000",No,75000
331670,The Jackbox Party Pack,game,24.99,2014-11-26 00:00:00,-1,0,1,331670,30,"200,000 .. 500,000",No,250000
331720,Survivor Squad: Gauntlets,game,8.99,2015-11-16 00:00:00,-1,0,0,331720,0,"20,000 .. 50,000",No,35000
331750,Disney•Pixar WALL-E,game,19.99,2015-02-24 00:00:00,-1,0,0,331750,0,"0 .. 20,000",No,10000
331760,Supreme League of Patriots,game,5.99,2015-01-29 00:00:00,56,0,0,331760,0,"20,000 .. 50,000",No,35000
331790,Data Hacker: Reboot,game,4.99,2015-04-17 00:00:00,-1,0,0,331790,222,"200,000 .. 500,000",No,250000
331870,AER,game,0.0,2016-05-07 20:16:00,-1,0,0,331870,73,"50,000 .. 100,000",No,75000
331880,Truck Mechanic Simulator 2015,game,19.99,2015-05-01 00:00:00,-1,0,0,331880,0,"20,000 .. 50,000",No,35000
331910,Beach Resort Simulator,game,19.99,2014-11-28 00:00:00,-1,0,0,331910,0,"0 .. 20,000",No,10000
331920,Airline Tycoon Deluxe,game,9.99,2014-11-14 00:00:00,-1,0,0,331920,0,"20,000 .. 50,000",No,35000
331970,Treasure Planet: Battle at Procyon,game,9.99,2015-02-24 00:00:00,-1,0,1,331970,0,"20,000 .. 50,000",No,35000
331980,Last Inua,game,7.99,2014-12-11 00:00:00,-1,0,0,331980,222,"50,000 .. 100,000",No,75000
332150,LEVEL UP!,game,9.99,2014-11-24 00:00:00,-1,0,0,332150,0,"0 .. 20,000",No,10000
332200,Axiom Verge,game,19.99,2015-05-14 00:00:00,80,0,0,332200,377,"100,000 .. 200,000",No,150000
332250,The Next Penelope,game,12.99,2015-05-29 00:00:00,82,0,1,332250,0,"20,000 .. 50,000",No,35000
332260,Disney•Pixar Cars Mater-National Championship,game,19.99,2015-02-24 00:00:00,-1,0,0,332260,0,"0 .. 20,000",No,10000
332310,LEGO® Worlds,game,14.99,2015-06-01 00:00:00,-1,0,0,332310,723,"500,000 .. 1,000,000",No,750000
332330,PixelJunk™ Shooter Ultimate,game,9.99,2015-10-21 00:00:00,-1,0,1,332330,0,"20,000 .. 50,000",No,35000
332370,Miko Gakkou Monogatari: Kaede Episode,game,8.99,2015-11-26 00:00:00,-1,0,0,332370,0,"0 .. 20,000",No,10000
332380,Asguaard,game,14.99,2015-04-10 00:00:00,-1,0,0,332380,0,"0 .. 20,000",No,10000
332390,Undefeated,game,9.99,2015-04-03 00:00:00,-1,0,0,332390,0,"20,000 .. 50,000",No,35000
